Planta;Total Energy;Total Consumption;Total Import;Total Export;Total Self-consumpion
1;0;0;0;0;0
1;0.1;0.1;0.1;0.1;0.1
1;0.2;0.2;0.2;0.2;0.2
1;0.3;0.3;0.3;0.3;0.3
1;0.4;0.4;0.4;0.4;0.4
1;0.5;0.5;0.5;0.5;0.5
1;0.6;0.6;0.6;0.6;0.6
1;0.7;0.7;0.7;0.7;0.7
1;0.8;0.8;0.8;0.8;0.8
1;0.9;0.9;0.9;0.9;0.9
1;1;1;1;1;1
1;1.1;1.1;1.1;1.1;1.1
1;1.2;1.2;1.2;1.2;1.2
1;1.3;1.3;1.3;1.3;1.3
1;1.4;1.4;1.4;1.4;1.4
1;1.5;1.5;1.5;1.5;1.5
1;1.6;1.6;1.6;1.6;1.6
1;1.7;1.7;1.7;1.7;1.7
1;1.8;1.8;1.8;1.8;1.8
1;1.9;1.9;1.9;1.9;1.9
1;2;2;2;2;2
1;2.1;2.1;2.1;2.1;2.1
1;2.2;2.2;2.2;2.2;2.2
1;2.3;2.3;2.3;2.3;2.3
1;0;0;0;0;0
1;0.1;0.1;0.1;0.1;0.1
1;1.88;1.88;1.88;1.88;1.88
1;1.94;1.94;1.94;1.94;1.94
1;2;2;2;2;2
1;2.07;2.07;2.07;2.07;2.07
1;2.13;2.13;2.13;2.13;2.13
1;2.19;2.19;2.19;2.19;2.19
1;2.25;2.25;2.25;2.25;2.25
1;2.31;2.31;2.31;2.31;2.31
1;2.37;2.37;2.37;2.37;2.37
1;2.43;2.43;2.43;2.43;2.43
1;2.49;2.49;2.49;2.49;2.49
1;2.55;2.55;2.55;2.55;2.55
1;2.61;2.61;2.61;2.61;2.61
1;2.67;2.67;2.67;2.67;2.67
1;2.73;2.73;2.73;2.73;2.73
1;2.79;2.79;2.79;2.79;2.79
1;2.85;2.85;2.85;2.85;2.85
1;2.91;2.91;2.91;2.91;2.91
1;2.97;2.97;2.97;2.97;2.97
1;3.04;3.04;3.04;3.04;3.04
1;3.1;3.1;3.1;3.1;3.1
1;3.16;3.16;3.16;3.16;3.16
1;3.22;3.22;3.22;3.22;3.22
1;3.28;3.28;3.28;3.28;3.28
1;3.34;3.34;3.34;3.34;3.34
1;3.4;3.4;3.4;3.4;3.4
1;3.46;3.46;3.46;3.46;3.46
1;3.52;3.52;3.52;3.52;3.52
1;3.58;3.58;3.58;3.58;3.58
1;3.64;3.64;3.64;3.64;3.64
1;3.7;3.7;3.7;3.7;3.7
1;3.76;3.76;3.76;3.76;3.76
1;3.82;3.82;3.82;3.82;3.82
1;3.88;3.88;3.88;3.88;3.88
1;3.94;3.94;3.94;3.94;3.94
1;4.01;4.01;4.01;4.01;4.01
1;4.07;4.07;4.07;4.07;4.07
1;4.13;4.13;4.13;4.13;4.13
1;4.19;4.19;4.19;4.19;4.19
1;4.25;4.25;4.25;4.25;4.25
1;4.31;4.31;4.31;4.31;4.31
1;4.37;4.37;4.37;4.37;4.37
1;4.43;4.43;4.43;4.43;4.43
1;4.49;4.49;4.49;4.49;4.49
1;4.55;4.55;4.55;4.55;4.55
1;4.61;4.61;4.61;4.61;4.61
1;4.67;4.67;4.67;4.67;4.67
1;4.73;4.73;4.73;4.73;4.73
1;4.79;4.79;4.79;4.79;4.79
1;4.85;4.85;4.85;4.85;4.85
1;4.91;4.91;4.91;4.91;4.91
1;4.98;4.98;4.98;4.98;4.98
1;5.04;5.04;5.04;5.04;5.04
1;5.1;5.1;5.1;5.1;5.1
1;5.16;5.16;5.16;5.16;5.16
1;5.22;5.22;5.22;5.22;5.22
1;5.28;5.28;5.28;5.28;5.28
1;5.34;5.34;5.34;5.34;5.34
1;5.4;5.4;5.4;5.4;5.4
1;5.46;5.46;5.46;5.46;5.46
1;5.52;5.52;5.52;5.52;5.52
1;5.58;5.58;5.58;5.58;5.58
1;5.64;5.64;5.64;5.64;5.64
1;5.7;5.7;5.7;5.7;5.7
1;5.76;5.76;5.76;5.76;5.76
1;5.82;5.82;5.82;5.82;5.82
1;5.88;5.88;5.88;5.88;5.88
1;5.94;5.94;5.94;5.94;5.94
1;6.01;6.01;6.01;6.01;6.01
1;6.07;6.07;6.07;6.07;6.07
1;6.13;6.13;6.13;6.13;6.13
1;6.19;6.19;6.19;6.19;6.19
1;6.25;6.25;6.25;6.25;6.25
1;6.31;6.31;6.31;6.31;6.31
